id,name,description,createdAt,updatedAt,createdBy,deletedAt,deletedBy,isDeleted,tenantId,deadline,kind
cmetj85qg0000suo5cgib2xpx,Contabilidad,Restored project: Contabilidad,2025-08-27 05:26:15.305,2025-08-27 19:42:55.985,cmethsf2l0002sufmkv3vv7ys,,,f,default-tenant,,CORE
cmetj860f0001suo5xuw4w4r3,Muralla Café,Restored project: Muralla Café,2025-08-27 05:26:15.663,2025-08-27 19:42:58.145,cmethsf2l0002sufmkv3vv7ys,,,f,default-tenant,,CORE
cmetj86550002suo58w65limh,Infraestructura Muralla,Restored project: Infraestructura Muralla,2025-08-27 05:26:15.834,2025-08-27 19:42:59.592,cmethsf2l0002sufmkv3vv7ys,,,f,default-tenant,,CORE
cmetj86a50003suo563ad02f0,Murallita MEF,Restored project: Murallita MEF,2025-08-27 05:26:16.014,2025-08-27 19:43:01.043,cmethsf2l0002sufmkv3vv7ys,,,f,default-tenant,,CORE
cmetj86f50004suo5d9tlduae,Coworking,Restored project: Coworking,2025-08-27 05:26:16.193,2025-08-27 19:43:02.585,cmethsf2l0002sufmkv3vv7ys,,,f,default-tenant,,CORE
